success,time_to_target,sim_duration,min_safety_margin,n_safety_violations,control_effort,mpc_infeasible_steps,n_steps,level,ic_idx,traj_id
True,0.25,0.25,1.3210023890441764,0,5.367429260759954,0,5,nominal,556,203
True,1.1500000000000004,1.1500000000000004,3.448022740257692e-06,0,27.17903227866399,0,23,nominal,559,204
True,0.44999999999999996,0.44999999999999996,1.595165162720177,0,6.7196386596830555,0,9,nominal,562,205
True,0.49999999999999994,0.49999999999999994,3.100070290812647,0,8.985109510490672,0,10,nominal,563,206
True,0.9000000000000002,0.9000000000000002,7.674720423468092e-07,0,17.723084429591754,0,18,nominal,567,207
True,1.2500000000000004,1.2500000000000004,4.3431689639383214e-06,0,33.6061556786157,0,25,nominal,571,208
True,0.9500000000000003,0.9500000000000003,5.63420287759379e-06,0,21.856590819368428,0,19,nominal,573,209
True,1.2500000000000004,1.2500000000000004,1.7501939727470633e-06,0,39.719990132970466,0,25,nominal,574,210
False,,0.5499999999999999,-8.294534928753129e-06,1,16.520942080926744,1,11,nominal,581,211
True,1.2000000000000004,1.2000000000000004,5.840905923696075e-06,0,28.421271394814628,0,24,nominal,584,212
True,0.8000000000000002,0.8000000000000002,0.0005309523011373501,0,17.998188494793997,0,16,nominal,585,213
True,0.3,0.3,8.826416338302511,0,5.352544031635664,0,6,nominal,586,214
True,0.6,0.6,0.19632628007139916,0,10.153053414177254,0,12,nominal,589,215
True,0.25,0.25,2.3922237773802837,0,2.151007729331998,0,5,nominal,590,216
True,0.7000000000000001,0.7000000000000001,7.138120009077166,0,16.05969055532141,0,14,nominal,592,217
True,0.8500000000000002,0.8500000000000002,9.338176817665862e-07,0,16.399172988882185,0,17,nominal,593,218
False,,0.49999999999999994,-5.29255975585261e-07,1,13.620115905407678,1,10,nominal,594,219
True,0.7500000000000001,0.7500000000000001,7.794809913133832,0,17.022849597500645,0,15,nominal,597,220
True,0.8000000000000002,0.8000000000000002,4.375185650201779,0,14.990110538897095,0,16,nominal,598,221
True,0.7500000000000001,0.7500000000000001,2.888539485394609e-06,0,17.913883549019012,0,15,nominal,600,222
True,0.8500000000000002,0.8500000000000002,4.7476298874671485,0,14.734186529909458,0,17,nominal,604,223
True,0.7000000000000001,0.7000000000000001,3.581214268446175,0,10.104886267535546,0,14,nominal,606,224
True,0.49999999999999994,0.49999999999999994,7.68002917118485,0,10.627217062058422,0,10,nominal,613,225
True,1.4000000000000006,1.4000000000000006,1.5682801174844392e-06,0,47.521149796229885,0,28,nominal,614,226
True,0.7500000000000001,0.7500000000000001,0.0001503251195062388,0,15.13808798824332,0,15,nominal,621,227
True,0.9000000000000002,0.9000000000000002,5.93107087860595e-06,0,18.424977411617267,0,18,nominal,623,228
True,0.9000000000000002,0.9000000000000002,4.3569116507381604,0,18.52085646327202,0,18,nominal,634,229
True,1.0000000000000002,1.0000000000000002,3.7009100523116662e-06,0,28.961399405015115,0,20,nominal,637,230
True,1.0500000000000003,1.0500000000000003,1.0663790705826535e-05,0,20.020722058786497,0,21,nominal,639,231
True,0.65,0.65,8.627163707058559,0,9.89884379110407,0,13,nominal,644,232
True,1.1000000000000003,1.1000000000000003,3.4919277559046587e-06,0,30.255261509473357,0,22,nominal,646,233
True,1.1500000000000004,1.1500000000000004,1.9281307389811044e-06,0,35.98583144339031,0,23,nominal,654,234
True,0.7500000000000001,0.7500000000000001,2.1015490730213355,0,17.732720144638634,0,15,nominal,655,235
True,1.3000000000000005,1.3000000000000005,4.812066523953993e-06,0,36.62953005087299,0,26,nominal,662,236
True,0.7000000000000001,0.7000000000000001,1.1557023025481374,0,15.118911832166326,0,14,nominal,665,237
True,0.8500000000000002,0.8500000000000002,3.564319582967226e-06,0,22.970597567995842,0,17,nominal,667,238
True,0.7000000000000001,0.7000000000000001,5.025028045416351e-06,0,14.755543892204763,0,14,nominal,668,239
True,0.6,0.6,7.802127644952018,0,12.303901949462562,0,12,nominal,672,240
True,0.7500000000000001,0.7500000000000001,8.312682520378628e-06,0,20.328818204127256,0,15,nominal,676,241
True,1.3000000000000005,1.3000000000000005,4.119619566864033e-06,0,36.61688181616722,0,26,nominal,678,242
True,1.4500000000000006,1.4500000000000006,5.681722173616059e-06,0,52.55644382719048,0,29,nominal,679,243
True,1.0500000000000003,1.0500000000000003,0.004204629227976091,0,19.2662332796797,0,21,nominal,681,244
False,,0.9000000000000002,-0.009650806430949344,1,27.921992478200618,1,18,mild,1,0
True,1.2000000000000004,1.2000000000000004,0.008255152726420294,0,42.00274734434793,0,24,mild,2,1
True,0.6,0.6,5.592582002116371,0,16.589391775830585,0,12,mild,4,2
True,0.49999999999999994,0.49999999999999994,2.4362776026776247,0,9.385395569510512,0,10,mild,6,3
True,1.3500000000000005,1.3500000000000005,0.056650746032498804,0,46.939049838103436,0,27,mild,7,4
True,0.5499999999999999,0.5499999999999999,1.9310755531953239,0,8.849943981990194,0,11,mild,10,5
True,0.9000000000000002,0.9000000000000002,3.2756012774912233,0,15.661322875255882,0,18,mild,13,6
False,,0.49999999999999994,-0.09766979269387947,1,18.42383448554639,1,10,mild,15,7
False,,0.44999999999999996,-0.08597613616191888,1,18.151936317200793,1,9,mild,18,8
True,0.8000000000000002,0.8000000000000002,2.902198751798509,0,19.639646950777326,0,16,mild,19,9
True,0.39999999999999997,0.39999999999999997,2.5450682920670817,0,10.902205065170028,0,8,mild,21,10
True,0.7500000000000001,0.7500000000000001,0.07371443279697441,0,11.668434393024956,0,15,mild,22,11
False,,0.5499999999999999,-0.205317212854221,1,19.775956260598303,1,11,mild,23,12
False,,0.8500000000000002,-0.07758322111324548,1,23.929558650663317,1,17,mild,24,13
True,0.5499999999999999,0.5499999999999999,4.548765180466317,0,9.096851122186637,0,11,mild,26,14
